long,lat,n
-76.6957,39.3554,2
-76.6956,39.2723,1
-76.6956,39.2813,1
-76.6956,39.3553,1
-76.6954,39.3187,1
-76.6952,39.2763,1
-76.6952,39.2801,1
-76.6952,39.2802,1
-76.695,39.2837,1
-76.695,39.2851,1
-76.6949,39.2836,1
-76.6949,39.3187,1
-76.6948,39.2794,2
-76.6948,39.3301,3
-76.6947,39.302,1
-76.6946,39.2793,1
-76.6946,39.2815,3
-76.6946,39.3507,2
-76.6945,39.3183,2
-76.6944,39.2722,1
-76.6944,39.2737,1
-76.6944,39.331,2
-76.6944,39.3396,1
-76.6942,39.2815,1
-76.6941,39.2843,3
-76.6941,39.3521,1
-76.694,39.3586,1
-76.694,39.3716,1
-76.6939,39.279,1
-76.6939,39.2843,2
-76.6938,39.2935,2
-76.6936,39.2814,7
-76.6934,39.2979,1
-76.6934,39.3229,1
-76.6934,39.3585,3
-76.6933,39.2828,1
-76.6932,39.2761,1
-76.6932,39.2958,2
-76.6931,39.3187,1
-76.6931,39.3362,1
-76.6931,39.3493,1
-76.6931,39.3708,2
-76.693,39.2815,4
-76.693,39.2935,4
-76.6929,39.2822,1
-76.6929,39.2935,1
-76.6929,39.358,2
-76.6928,39.3187,1
-76.6928,39.3435,1
-76.6925,39.3187,1
-76.6925,39.3201,3
-76.6924,39.3692,1
-76.6923,39.2906,2
-76.6922,39.2853,3
-76.6922,39.2877,1
-76.6922,39.3189,6
-76.6921,39.3352,1
-76.692,39.2781,1
-76.692,39.2915,1
-76.6919,39.3386,2
-76.6919,39.3485,1
-76.6919,39.3523,1
-76.6918,39.3261,2
-76.6918,39.3407,1
-76.6916,39.3429,1
-76.6916,39.3694,2
-76.6915,39.2983,1
-76.6913,39.2881,2
-76.6912,39.3223,1
-76.6912,39.3427,1
-76.6912,39.3715,1
-76.6911,39.2767,1
-76.6911,39.2775,2
-76.6911,39.3482,1
-76.691,39.288,1
-76.6909,39.3312,1
-76.6909,39.3695,1
-76.6908,39.2961,1
-76.6908,39.3171,1
-76.6908,39.319,1
-76.6907,39.2816,1
-76.6907,39.2962,1
-76.6906,39.2741,1
-76.6906,39.2977,1
-76.6906,39.3173,2
-76.6906,39.346,1
-76.6905,39.3177,1
-76.6905,39.3318,1
-76.6905,39.3497,1
-76.6902,39.3457,1
-76.6901,39.315,1
-76.69,39.2878,1
-76.69,39.3226,2
-76.6899,39.2936,1
-76.6898,39.3228,1
-76.6898,39.3567,1
-76.6897,39.2738,1
-76.6896,39.2753,1
-76.6896,39.3217,2
-76.6896,39.3386,2
-76.6896,39.3453,2
-76.6896,39.3481,1
-76.6894,39.3212,1
-76.6894,39.3282,1
-76.6894,39.3426,1
-76.6893,39.2767,1
-76.6893,39.2912,1
-76.6893,39.2915,1
-76.6893,39.2922,8
-76.6893,39.3219,1
-76.6893,39.3344,1
-76.6892,39.2766,1
-76.6892,39.2988,1
-76.6892,39.3488,2
-76.6891,39.3468,2
-76.689,39.2896,1
-76.689,39.2976,2
-76.689,39.345,1
-76.6889,39.3714,1
-76.6888,39.2749,2
-76.6888,39.2873,1
-76.6887,39.3291,1
-76.6886,39.2817,1
-76.6885,39.2816,2
-76.6884,39.3459,3
-76.6882,39.3252,3
-76.6881,39.2831,1
-76.6881,39.2838,2
-76.6881,39.3223,1
-76.6881,39.3278,1
-76.688,39.3485,1
-76.6879,39.2858,1
-76.6877,39.2857,1
-76.6877,39.3204,1
-76.6877,39.3215,2
-76.6876,39.2776,1
-76.6876,39.2823,1
-76.6876,39.2825,1
-76.6876,39.283,2
-76.6876,39.2831,7
-76.6876,39.3442,1
-76.6875,39.3341,1
-76.6875,39.3358,1
-76.6874,39.3248,1
-76.6874,39.334,1
-76.6873,39.2965,1
-76.6873,39.3417,1
-76.6873,39.3479,1
-76.6873,39.3702,1
-76.6872,39.2964,1
-76.6872,39.3249,1
-76.6872,39.3296,2
-76.6872,39.3333,5
-76.6871,39.3324,2
-76.6871,39.3489,5
-76.6869,39.2841,1
-76.6869,39.3184,1
-76.6869,39.3248,1
-76.6868,39.2817,1
-76.6868,39.2854,3
-76.6868,39.2855,1
-76.6868,39.2863,1
-76.6868,39.2872,1
-76.6868,39.3251,3
-76.6868,39.3584,2
-76.6867,39.2834,1
-76.6866,39.3606,1
-76.6866,39.3623,1
-76.6865,39.3357,1
-76.6865,39.345,5
-76.6864,39.2777,2
-76.6864,39.3479,1
-76.6863,39.2674,1
-76.6863,39.2675,2
-76.6863,39.2869,1
-76.6863,39.3029,1
-76.6863,39.3229,1
-76.6862,39.2938,1
-76.6862,39.2972,2
-76.6862,39.3261,1
-76.6862,39.3449,1
-76.6862,39.3491,1
-76.686,39.2675,3
-76.686,39.2824,1
-76.686,39.2938,2
-76.686,39.2963,1
-76.6859,39.2948,1
-76.6858,39.335,5
-76.6858,39.3505,1
-76.6857,39.3282,5
-76.6857,39.3396,1
-76.6857,39.3493,1
-76.6856,39.2765,2
-76.6856,39.2766,1
-76.6856,39.3408,1
-76.6856,39.355,1
-76.6855,39.3018,5
-76.6855,39.3716,1
-76.6854,39.3018,1
-76.6854,39.3211,1
-76.6854,39.3444,4
-76.6854,39.3712,3
-76.6853,39.3003,1
-76.6853,39.3241,2
-76.6853,39.3592,1
-76.6852,39.2667,1
-76.6852,39.2986,1
-76.6852,39.3231,1
-76.6852,39.3294,1
-76.6852,39.3358,1
-76.6851,39.2957,1
-76.685,39.346,1
-76.6849,39.2861,1
-76.6849,39.3476,1
-76.6849,39.3635,3
-76.6848,39.2859,1
-76.6848,39.3304,1
-76.6848,39.3305,2
-76.6848,39.3313,2
-76.6848,39.3359,3
-76.6848,39.3367,2
-76.6848,39.3388,1
-76.6847,39.2781,1
-76.6847,39.2816,2
-76.6847,39.3361,2
-76.6847,39.3367,1
-76.6847,39.3369,1
-76.6847,39.3492,1
-76.6846,39.2825,1
-76.6846,39.3408,3
-76.6846,39.3588,1
-76.6845,39.2804,1
-76.6845,39.349,1
-76.6844,39.3556,1
-76.6843,39.2683,1
-76.6843,39.3471,1
-76.6842,39.2682,2
-76.6841,39.2945,1
-76.6841,39.2946,2
-76.6841,39.3217,5
-76.6841,39.3236,4
-76.6841,39.3313,2
-76.6841,39.3466,3
-76.684,39.2816,1
-76.6839,39.2938,1
-76.6839,39.2957,1
-76.6839,39.2993,2
-76.6839,39.3279,1
-76.6839,39.3467,4
-76.6839,39.352,1
-76.6838,39.278,1
-76.6838,39.2782,1
-76.6838,39.3208,1
-76.6838,39.3278,1
-76.6838,39.3431,1
-76.6838,39.3521,1
-76.6837,39.2973,1
-76.6837,39.3397,2
-76.6837,39.343,2
-76.6836,39.2801,1
